,postal,sushi,correoelec,Página web,telefono,per_ocu,Alimentos & Bebidas,Bibliotecas,Combustibles,Construcción,Correo postal,Deportes,Desechos,Energía,Escuela,Finanzas,Hospedaje,Juegos de azar,Licores,Maquinaria y Equipos,Mascotas,Medios de comunicación,Parques & áreas verdes,Productos médicos,Religión,Reparación vehiculos,Restaurantes,Sector primario,Servicios médicos,Tiendas,Transporte,Vestimenta,Fijo,Semifijo,AEROPUERTO,AMPLIACION,BARRIO,CANTON,CIUDAD,CIUDAD INDUSTRIAL,COLONIA,CONDOMINIO,CONJUNTO HABITACIONAL,CORREDOR INDUSTRIAL,CUARTEL,EJIDO,EXHACIENDA,FRACCION,FRACCIONAMIENTO,HACIENDA,LOCALIDAD,MANZANA,NINGUNO,OTRO,OTRO (ESPECIFIQUE),PARAJE,PARQUE INDUSTRIAL,PRIVADA,PROLONGACION,PUEBLO,PUERTO,RANCHERIA,RANCHO,RESIDENCIAL,RINCONADA,SECTOR,UNIDAD,UNIDAD HABITACIONAL,VILLA,ZONA COMERCIAL,ZONA FEDERAL,ZONA INDUSTRIAL,ZONA NAVAL,AEROPUERTO,CENTRAL CAMIONERA,CENTRAL DE ABASTO,CENTRO Y PLAZA COMERCIAL,CIUDAD INDUSTRIAL,EDIFICIO COMERCIAL Y DE SERVICIOS,"HOSPITAL, CENTRO MEDICO O CLINICA",MERCADO PUBLICO,NO PLAZA,OTRO CONGLOMERADO,PARQUE INDUSTRIAL,PARQUE RECREATIVO,PASAJE Y ANDADOR COMERCIAL,"TIANGUIS, BAZAR O PULGA",Poblacion_total,Personas con discapacidad,Escolaridad promedio,Población sin seguro,Población con seguro,Población con religión,Población sin religion,Viviendas habitadas
20,80026,0,4,2,9,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,16976736,668010,246.75,3538836,13396131,14868210,2061612,4876221
21,80027,0,44,17,20,196,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,14.0,0.0,0.0,10.0,1.0,10.0,106.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,96.0,1.0,0.0,0.0,0.0,0.0,87308928,3435480,1269.0,18199728,68894388,76465080,10602576,25077708
22,80028,5,16,8,32,194,20.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,11.0,0.0,6.0,31.0,0.0,3.0,159.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,130963392,5153220,1903.5,27299592,103341582,114697620,15903864,37616562
23,80029,5,43,16,108,519,48.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,17.0,3.0,1.0,0.0,15.0,2.0,2.0,5.0,0.0,5.0,5.0,25.0,52.0,1.0,10.0,82.0,2.0,8.0,433.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,362198607,14252173,5273.43,75500308,285807192,317212079,43985636,104033541
24,80030,4,192,68,290,1044,38.0,0.0,5.0,9.0,1.0,1.0,0.0,0.0,37.0,25.0,4.0,3.0,10.0,3.0,6.0,11.0,3.0,22.0,12.0,48.0,82.0,2.0,46.0,52.0,5.0,20.0,707.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,7.0,1.0,5.0,677.0,1.0,0.0,0.0,0.0,0.0,576400613,22680530,8377.75,120151908,454830543,504811130,69996636,165559314
25,80034,0,0,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2425248,95430,35.25,505548,1913733,2124030,294516,696603
26,80040,6,110,54,154,751,50.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,28.0,25.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,6.0,1.0,5.0,67.0,2.0,88.0,25.0,5.0,26.0,480.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1.0,20.0,0.0,397.0,1.0,0.0,0.0,0.0,0.0,400166118,15745962,5824.57,83415474,315766089,350465135,48595153,114939543
27,80048,0,2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,808416,31810,11.75,168516,637911,708010,98172,232201
28,80050,12,153,69,395,1076,49.0,0.0,4.0,10.0,1.0,3.0,0.0,0.0,47.0,11.0,1.0,0.0,19.0,1.0,4.0,4.0,1.0,12.0,8.0,16.0,104.0,3.0,172.0,75.0,3.0,24.0,827.0,10.0,1.0,6.0,0.0,0.0,0.0,0.0,236.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,566.0,2.0,1.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,4.0,141.0,0.0,642.0,2.0,0.0,0.0,0.0,0.0,676644192,26624970,9834.75,141047892,533931507,592604370,82169964,194352237
29,80052,0,1,0,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1616832,63620,23.5,337032,1275822,1416020,196344,464402
